name,hex,link
कॅपट मोर्टुअम,#592720,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%85%E0%A4%AA%E0%A4%9F_%E0%A4%AE%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F%E0%A5%81%E0%A4%85%E0%A4%AE
केसरिया,#f4c430,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%87%E0%A4%B8%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कैली हरा,#4cbb17,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%88%E0%A4%B2%E0%A5%80_%E0%A4%B9%E0%A4%B0%E0%A4%BE
कॉपर रोज़,#996666,https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A4%BC_(%E0%A4%B0%E0%A4%82%E0%A4%97)#%E0%A4%95%E0%A5%89%E0%A4%AA%E0%A4%B0_%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A4%BC
कॉर्न,#fbec5d,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%89%E0%A4%B0%E0%A5%8D%E0%A4%A8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कॉर्नफ्लावर नीला,#6495ed,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%89%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A4%AB%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%B5%E0%A4%B0_%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE
कॉस्मिक लेट्ट,#fff8e7,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%89%E0%A4%B8%E0%A5%8D%E0%A4%AE%E0%A4%BF%E0%A4%95_%E0%A4%B2%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%9F
कोबाल्ट,#0047ab,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A5%8D%E0%A4%9F_(%E0%A4%B0%E0%A4%82%E0%A4%97)
क्यान,#01fefe,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8
क्रीम,#fffdd0,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE
